"Resultado do Jogo do Bicho 10:45, Paraíba, LOTEP - PB, 10:45 de ontem (13/08/2021).",1º,2298,25,Vaca,2º,5361,16,Leão,3º,9102,01,Avestruz,4º,9273,19,Pavão,5º,5037,10,Coelho,6º,2599,25,Vaca,7º,2312,03,Burro,8º,9607,02,Águia,9º,8123,06,Cabra,10º,3712,03,Burro
"Resultado do Jogo do Bicho 12:45, Paraíba, LOTEP - PB, 12:45 de ontem (13/08/2021).",1º,0974,19,Pavão,2º,7732,08,Camelo,3º,4130,08,Camelo,4º,1383,21,Touro,5º,9975,19,Pavão,6º,0741,11,Cavalo,7º,9713,04,Borboleta,8º,7338,10,Coelho,9º,4203,01,Avestruz,10º,6189,23,Urso
"Resultado do Jogo do Bicho 15:45, Paraíba, LOTEP - PB, 15:45h de ontem (13/08/2021).",1º,4042,11,Cavalo,2º,0251,13,Galo,3º,9587,22,Tigre,4º,7438,10,Coelho,5º,5754,14,Gato,6º,4097,25,Vaca,7º,0254,14,Gato,8º,4583,21,Touro,9º,2178,20,Perú,10º,8184,21,Touro
"Resultado do Jogo do Bicho 18:00, Paraíba, LOTEP - PB, 18h de ontem (13/08/2021).",1º,6066,17,Macaco,2º,6201,01,Avestruz,3º,0517,05,Cachorro,4º,4718,05,Cachorro,5º,6953,14,Gato,6º,6604,01,Avestruz,7º,0257,15,Jacaré,8º,6011,03,Burro,9º,6178,20,Perú,10º,3505,02,Águia
"Resultado do Jogo do Bicho 09:45, Paraíba, PB, Paratodos 09:45 de ontem (13/08/2021).",1º,0934,09,Cobra,2º,9476,19,Pavão,3º,7189,23,Urso,4º,1814,04,Borboleta,5º,6374,19,Pavão,6º,0971,18,Porco,7º,9418,05,Cachorro,8º,3781,21,Touro,9º,4694,24,Veado,10º,4651,13,Galo
"Resultado do Jogo do Bicho 20:10, Paraíba, PB, Paratodos 20:00 de ontem (13/08/2021).",1º,1179,20,Perú,2º,4018,05,Cachorro,3º,3502,01,Avestruz,4º,1470,18,Porco,5º,1872,18,Porco,6º,1431,08,Camelo,7º,1054,14,Gato,8º,7107,02,Águia,9º,9820,05,Cachorro,10º,1453,14,Gato

"Resultado do Jogo do Bicho 10:45, Paraíba, LOTEP - PB, 10:45 de hoje (16/08/2021).",1º,3914,04,Borboleta,2º,7202,01,Avestruz,3º,8825,07,Carneiro,4º,4195,24,Veado,5º,6501,01,Avestruz,6º,3784,21,Touro,7º,9281,21,Touro,8º,1029,08,Camelo,9º,4255,14,Gato,10º,8986,22,Tigre
"Resultado do Jogo do Bicho 12:45, Paraíba, LOTEP - PB, 12:45 de hoje (16/08/2021).",1º,5339,10,Coelho,2º,7906,02,Águia,3º,8872,18,Porco,4º,3138,10,Coelho,5º,3978,20,Perú,6º,5783,21,Touro,7º,3981,21,Touro,8º,3073,19,Pavão,9º,9628,07,Carneiro,10º,1698,25,Vaca
"Resultado do Jogo do Bicho 15:45, Paraíba, LOTEP - PB, 15:45h de hoje (16/08/2021).",1º,7716,04,Borboleta,2º,7419,05,Cachorro,3º,3251,13,Galo,4º,7672,18,Porco,5º,9877,20,Perú,6º,7737,10,Coelho,7º,7426,07,Carneiro,8º,1157,15,Jacaré,9º,6912,03,Burro,10º,9167,17,Macaco
